,csii50,fx,csii50/fx,0400,0434,0700,0777,1060,1980,2280,3888,TOUR,WB,YY,CYOU,MOMO,JD,BIDU,BZUN,CTRP,JOBS,NTES,SINA,SOHU,VNET,TAL,YRD,ATHM,BABA,BITA,CMCM,JMEI,LEJU,SFUN,VIPS,WBAI,WUBA
2017-10-06,9611.48,6.65,1445.33533835,4.9000000000000004,3.1699999999999999,352.0,26.449999999999999,1.27,5.71,6.4900000000000002,18.620000000000001,7.9000000000000004,100.40000000000001,88.739999999999995,40.600000000000001,31.969999999999999,39.240000000000002,247.69,34.170000000000002,55.710000000000001,60.859999999999999,276.69,115.27,57.460000000000001,7.1699999999999999,33.950000000000003,45.600000000000001,61.420000000000002,179.19999999999999,49.18,8.5099999999999998,2.8999999999999999,1.5700000000000001,4.1900000000000004,8.3499999999999996,11.5,64.849999999999994
2017-10-07,9611.48,6.65,1445.33533835,4.9000000000000004,3.1699999999999999,352.0,26.449999999999999,1.27,5.71,6.4900000000000002,18.620000000000001,7.9000000000000004,100.40000000000001,88.739999999999995,40.600000000000001,31.969999999999999,39.240000000000002,247.69,34.170000000000002,55.710000000000001,60.859999999999999,276.69,115.27,57.460000000000001,7.1699999999999999,33.950000000000003,45.600000000000001,61.420000000000002,179.19999999999999,49.18,8.5099999999999998,2.8999999999999999,1.5700000000000001,4.1900000000000004,8.3499999999999996,11.5,64.849999999999994
2017-10-08,9611.48,6.65,1445.33533835,4.9000000000000004,3.1699999999999999,352.0,26.449999999999999,1.27,5.71,6.4900000000000002,18.620000000000001,7.9000000000000004,100.40000000000001,88.739999999999995,40.600000000000001,31.969999999999999,39.240000000000002,247.69,34.170000000000002,55.710000000000001,60.859999999999999,276.69,115.27,57.460000000000001,7.1699999999999999,33.950000000000003,45.600000000000001,61.420000000000002,179.19999999999999,49.18,8.5099999999999998,2.8999999999999999,1.5700000000000001,4.1900000000000004,8.3499999999999996,11.5,64.849999999999994
2017-10-09,9608.78,6.63,1449.28808446,4.8300000000000001,3.1699999999999999,349.0,26.850000000000001,1.27,5.7400000000000002,6.5,18.539999999999999,7.8099999999999996,100.33,89.489999999999995,39.979999999999997,31.469999999999999,38.909999999999997,252.22,33.630000000000003,55.299999999999997,60.68,275.63,113.73999999999999,57.619999999999997,7.5099999999999998,34.329999999999998,47.219999999999999,61.530000000000001,182.09,50.039999999999999,8.4800000000000004,2.7599999999999998,1.6399999999999999,4.0999999999999996,8.1600000000000001,11.52,64.510000000000005
2017-10-10,9657.48,6.57,1469.93607306,4.9100000000000001,3.27,351.19999999999999,28.75,1.3400000000000001,5.7999999999999998,6.5,19.420000000000002,7.79,99.719999999999999,89.269999999999996,39.780000000000001,32.049999999999997,40.170000000000002,262.41000000000003,33.960000000000001,54.609999999999999,61.039999999999999,269.32999999999998,111.98999999999999,57.100000000000001,7.5899999999999999,34.880000000000003,46.920000000000002,62.079999999999998,183.12,50.020000000000003,8.5,2.71,1.6100000000000001,4.0899999999999999,8.2799999999999994,11.289999999999999,64.409999999999997
2017-10-11,9676.85,6.59,1468.41426404,4.79,3.3199999999999998,351.60000000000002,27.600000000000001,1.3200000000000001,5.6699999999999999,6.4900000000000002,18.780000000000001,7.7800000000000002,99.700000000000003,90.180000000000007,39.670000000000002,32.780000000000001,39.619999999999997,260.31999999999999,33.899999999999999,54.310000000000002,61.729999999999997,268.80000000000001,113.93000000000001,56.869999999999997,7.6900000000000004,34.509999999999998,47.840000000000003,61.960000000000001,183.62,49.509999999999998,8.5045999999999999,2.7400000000000002,1.6000000000000001,4.0199999999999996,8.3550000000000004,11.220000000000001,65.280000000000001
2017-10-12,9586.1,6.59,1454.64339909,4.8499999999999996,3.3100000000000001,350.19999999999999,27.949999999999999,1.3200000000000001,5.7400000000000002,6.4000000000000004,19.120000000000001,7.75,98.859999999999999,91.079999999999998,39.539999999999999,32.140000000000001,38.509999999999998,259.32999999999998,34.229999999999997,54.740000000000002,64.5,271.75999999999999,114.95999999999999,57.049999999999997,7.6799999999999997,34.780000000000001,50.619999999999997,58.390000000000001,180.53,49.509999999999998,8.5899999999999999,2.8300000000000001,1.6200000000000001,4.1600000000000001,7.9000000000000004,11.1,65.329999999999998
2017-10-13,9616.44,6.58,1461.46504559,4.8200000000000003,3.27,349.19999999999999,27.800000000000001,1.3100000000000001,5.7999999999999998,6.2999999999999998,19.120000000000001,7.75,99.739999999999995,93.219999999999999,39.960000000000001,32.829999999999998,38.719999999999999,262.68000000000001,36.189999999999998,55.189999999999998,64.760000000000005,279.64999999999998,116.59,64.5,7.7000000000000002,35.200000000000003,49.799999999999997,60.460000000000001,178.44999999999999,50.509999999999998,8.6099999999999994,2.8300000000000001,1.6200000000000001,4.0999999999999996,7.8799999999999999,11.15,67.450000000000003
2017-10-14,9616.44,6.58,1461.46504559,4.8200000000000003,3.27,349.19999999999999,27.800000000000001,1.3100000000000001,5.7999999999999998,6.2999999999999998,19.120000000000001,7.75,99.739999999999995,93.219999999999999,39.960000000000001,32.829999999999998,38.719999999999999,262.68000000000001,36.189999999999998,55.189999999999998,64.760000000000005,279.64999999999998,116.59,64.5,7.7000000000000002,35.200000000000003,49.799999999999997,60.460000000000001,178.44999999999999,50.509999999999998,8.6099999999999994,2.8300000000000001,1.6200000000000001,4.0999999999999996,7.8799999999999999,11.15,67.450000000000003
2017-10-15,9616.44,6.58,1461.46504559,4.8200000000000003,3.27,349.19999999999999,27.800000000000001,1.3100000000000001,5.7999999999999998,6.2999999999999998,19.120000000000001,7.75,99.739999999999995,93.219999999999999,39.960000000000001,32.829999999999998,38.719999999999999,262.68000000000001,36.189999999999998,55.189999999999998,64.760000000000005,279.64999999999998,116.59,64.5,7.7000000000000002,35.200000000000003,49.799999999999997,60.460000000000001,178.44999999999999,50.509999999999998,8.6099999999999994,2.8300000000000001,1.6200000000000001,4.0999999999999996,7.8799999999999999,11.15,67.450000000000003
2017-10-16,9817.52,6.59,1489.76024279,4.8200000000000003,3.2200000000000002,355.60000000000002,27.5,1.3,5.6500000000000004,6.4000000000000004,19.039999999999999,7.79,99.069999999999993,97.319999999999993,40.579999999999998,34.380000000000003,39.670000000000002,272.81999999999999,36.689999999999998,55.469999999999999,64.739999999999995,282.57999999999998,114.98999999999999,70.060000000000002,7.6299999999999999,36.100000000000001,51.299999999999997,60.93,179.56,53.210000000000001,8.4600000000000009,2.8300000000000001,1.6200000000000001,4.4400000000000004,8.3399999999999999,11.16,68.469999999999999
2017-10-17,9751.91,6.62,1473.09818731,4.7800000000000002,3.1899999999999999,354.80000000000001,26.850000000000001,1.29,5.6900000000000004,6.4299999999999997,19.120000000000001,7.8200000000000003,98.180000000000007,94.420000000000002,39.659999999999997,33.350000000000001,39.590000000000003,270.31999999999999,35.219999999999999,54.609999999999999,63.57,279.85000000000002,114.26000000000001,67.730000000000004,7.6900000000000004,35.07,51.810000000000002,58.109999999999999,175.31999999999999,50.700000000000003,8.2899999999999991,2.98,1.6100000000000001,4.4299999999999997,8.3499999999999996,11.0,68.799999999999997
2017-10-18,9822.52,6.63,1481.52639517,4.7999999999999998,3.3399999999999999,354.60000000000002,26.449999999999999,1.29,5.6399999999999997,6.3899999999999997,19.719999999999999,7.7800000000000002,99.269999999999996,94.939999999999998,39.579999999999998,33.979999999999997,40.32,268.97000000000003,34.859999999999999,54.270000000000003,63.130000000000003,277.73000000000002,114.89,69.219999999999999,7.8700000000000001,35.240000000000002,52.270000000000003,60.100000000000001,179.61000000000001,52.640000000000001,8.6400000000000006,2.9700000000000002,1.5700000000000001,4.3700000000000001,8.4000000000000004,11.34,69.359999999999999
2017-10-19,9596.28,6.62,1449.58912387,4.8300000000000001,3.29,346.19999999999999,26.399999999999999,1.26,5.5700000000000003,6.2000000000000002,19.579999999999998,7.7400000000000002,96.890000000000001,92.769999999999996,39.75,32.810000000000002,39.380000000000003,264.51999999999998,33.689999999999998,49.799999999999997,62.229999999999997,276.70999999999998,111.59999999999999,66.599999999999994,7.8099999999999996,33.920000000000002,50.740000000000002,60.060000000000002,177.93000000000001,50.539999999999999,8.5099999999999998,2.9199999999999999,1.49,4.1200000000000001,8.1300000000000008,11.26,67.480000000000004
2017-10-20,9598.08,6.62,1449.86102719,4.9000000000000004,3.2599999999999998,349.60000000000002,26.449999999999999,1.27,5.6299999999999999,6.2699999999999996,19.800000000000001,7.6600000000000001,95.480000000000004,93.120000000000005,40.100000000000001,31.890000000000001,39.0,264.89999999999998,33.869999999999997,48.350000000000001,62.049999999999997,276.63,110.48,67.620000000000005,7.6900000000000004,34.909999999999997,50.530000000000001,59.140000000000001,177.31999999999999,50.159999999999997,8.7400000000000002,2.98,1.5,4.2000000000000002,8.25,11.26,67.079999999999998
